,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Visitor_isReturning
0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1.0,1,1.0,Returning_Visitor,0.0,False,1
1,0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.1,0.0,0.0,Feb,2.0,2.0,1,2.0,Returning_Visitor,0.0,False,1
2,0.0,0.0,0.0,0.0,1.0,64.0,0.2,0.2,0.0,0.0,Feb,4.0,1.0,9,3.0,Returning_Visitor,0.0,False,1
3,0.0,0.0,0.0,0.0,2.0,2.666666667,0.05,0.14,0.0,0.0,Feb,3.0,2.0,2,4.0,Returning_Visitor,0.0,False,1
4,0.0,0.0,0.0,0.0,10.0,627.5,0.02,0.05,0.0,0.0,Feb,3.0,99.0,1,4.0,Returning_Visitor,1.0,False,1
5,0.0,0.0,0.0,0.0,19.0,154.2166667,0.015789473999999998,0.024561404,0.0,0.0,Feb,2.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
6,0.0,0.0,0.0,0.0,1.0,154.2166667,0.2,0.2,0.0,0.4,Feb,2.0,4.0,3,3.0,Returning_Visitor,0.0,False,1
7,1.0,0.0,0.0,0.0,1.0,154.2166667,0.2,0.2,0.0,0.0,Feb,1.0,2.0,1,5.0,Returning_Visitor,1.0,False,1
8,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.1,0.0,0.8,Feb,2.0,2.0,2,3.0,Returning_Visitor,0.0,False,1
9,0.0,0.0,0.0,0.0,3.0,738.0,0.0,0.022222222000000003,0.0,0.4,Feb,2.0,4.0,2,2.0,Returning_Visitor,0.0,False,1
10,0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,Feb,1.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
11,0.0,0.0,0.0,0.0,16.0,407.75,0.01875,0.025833333,0.0,0.4,Feb,1.0,1.0,4,3.0,Returning_Visitor,0.0,False,1
12,0.0,0.0,0.0,0.0,7.0,280.5,0.0,0.028571429,0.0,0.0,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
13,0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,0.0,Feb,2.0,5.0,1,3.0,Returning_Visitor,0.0,False,1
14,0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.1,0.0,0.0,Feb,3.0,2.0,3,3.0,Returning_Visitor,0.0,False,1
15,2.0,53.0,0.0,0.0,23.0,1668.285119,0.008333333,0.016312636000000002,0.0,0.0,Feb,1.0,1.0,9,3.0,Returning_Visitor,0.0,False,1
16,0.0,53.0,0.0,0.0,1.0,1668.285119,0.2,0.2,0.0,0.0,Feb,1.0,1.0,4,3.0,Returning_Visitor,0.0,False,1
17,0.0,0.0,0.0,0.0,13.0,334.9666667,0.0,0.007692308,0.0,0.0,Feb,1.0,1.0,1,4.0,Returning_Visitor,1.0,False,1
18,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.1,0.0,0.0,Feb,2.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
19,0.0,0.0,0.0,0.0,20.0,2981.166667,0.0,0.01,0.0,0.0,Feb,2.0,4.0,4,4.0,Returning_Visitor,0.0,False,1
20,0.0,0.0,0.0,0.0,8.0,136.16666669999998,0.0,0.008333333,0.0,1.0,Feb,2.0,2.0,5,1.0,Returning_Visitor,1.0,False,1
21,0.0,0.0,0.0,0.0,1.0,136.16666669999998,0.2,0.2,0.0,0.0,Feb,3.0,99.0,1,3.0,Returning_Visitor,0.0,False,1
22,0.0,0.0,0.0,0.0,3.0,105.0,0.0,0.033333333,0.0,0.0,Feb,3.0,2.0,1,5.0,Returning_Visitor,0.0,False,1
23,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.1,0.0,0.8,Feb,2.0,4.0,1,3.0,Returning_Visitor,0.0,False,1
24,0.0,0.0,0.0,0.0,1.0,15.0,0.2,0.2,0.0,0.0,Feb,2.0,2.0,4,1.0,Returning_Visitor,1.0,False,1
25,0.0,0.0,0.0,0.0,5.0,156.0,0.0,0.04,0.0,0.0,Feb,1.0,1.0,9,3.0,Returning_Visitor,0.0,False,1
26,4.0,64.6,0.0,0.0,32.0,1135.444444,0.002857143,0.00952381,0.0,0.0,Feb,2.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
27,0.0,0.0,0.0,0.0,4.0,76.0,0.05,0.1,0.0,0.0,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
28,0.0,0.0,0.0,0.0,4.0,63.0,0.0,0.05,0.0,0.2,Feb,2.0,6.0,1,3.0,Returning_Visitor,0.0,False,1
29,1.0,6.0,1.0,0.0,4.0,1582.75,0.043478261,0.050821256,54.17976426,0.4,Feb,3.0,2.0,1,1.0,Returning_Visitor,0.0,False,1
30,0.0,0.0,0.0,0.0,2.0,35.0,0.0,0.1,0.0,0.0,Feb,1.0,1.0,6,3.0,Returning_Visitor,0.0,False,1
31,0.0,0.0,0.0,0.0,3.0,78.0,0.0,0.066666667,0.0,0.0,Feb,1.0,2.0,6,6.0,Returning_Visitor,1.0,False,1
32,0.0,0.0,0.0,0.0,8.0,209.5,0.0,0.025,0.0,0.0,Feb,2.0,2.0,1,1.0,Returning_Visitor,0.0,False,1
33,0.0,0.0,0.0,0.0,10.0,183.6666667,0.04,0.08,0.0,0.0,Feb,1.0,1.0,3,1.0,Returning_Visitor,0.0,False,1
34,0.0,0.0,0.0,0.0,14.0,380.5,0.014285714,0.028571429,0.0,0.0,Feb,2.0,2.0,1,1.0,Returning_Visitor,0.0,False,1
35,0.0,0.0,0.0,0.0,52.0,2086.242857,0.015384615,0.020352564,0.0,0.0,Feb,2.0,2.0,7,1.0,Returning_Visitor,0.0,False,1
36,0.0,0.0,0.0,0.0,8.0,388.0,0.025,0.05625,0.0,0.0,Feb,3.0,2.0,1,4.0,Returning_Visitor,1.0,False,1
37,2.0,18.0,0.0,0.0,5.0,298.0,0.0,0.028571429,0.0,0.8,Feb,2.0,2.0,8,4.0,Returning_Visitor,0.0,False,1
38,0.0,0.0,0.0,0.0,7.0,63.0,0.028571429,0.071428571,0.0,0.6,Feb,2.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
39,0.0,0.0,0.0,0.0,9.0,482.0,0.0,0.022222222000000003,0.0,0.0,Feb,2.0,5.0,1,6.0,Returning_Visitor,0.0,False,1
40,1.0,9.0,0.0,0.0,46.0,4084.393939,0.0,0.001794872,0.0,0.0,Feb,2.0,2.0,8,4.0,Returning_Visitor,0.0,False,1
41,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.066666667,0.0,0.6,Feb,1.0,1.0,3,2.0,Returning_Visitor,0.0,False,1
42,0.0,0.0,0.0,0.0,15.0,310.1666667,0.0,0.006666666999999999,0.0,0.0,Feb,1.0,1.0,4,4.0,Returning_Visitor,0.0,False,1
43,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.05,0.0,0.4,Feb,3.0,2.0,4,3.0,Returning_Visitor,0.0,False,1
44,0.0,0.0,0.0,0.0,4.0,88.0,0.0,0.05,0.0,0.0,Feb,4.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
45,0.0,0.0,0.0,0.0,22.0,622.25,0.003030303,0.006060606,0.0,0.2,Feb,2.0,5.0,1,4.0,Returning_Visitor,0.0,False,1
46,0.0,0.0,0.0,0.0,14.0,222.4,0.017142857,0.05714285700000001,0.0,0.0,Feb,1.0,1.0,1,2.0,Returning_Visitor,0.0,False,1
47,0.0,0.0,0.0,0.0,3.0,80.0,0.066666667,0.133333333,0.0,0.2,Feb,3.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
48,0.0,0.0,0.0,0.0,11.0,800.8333332999998,0.0,0.003636364,0.0,0.0,Feb,3.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
49,0.0,0.0,0.0,0.0,1.0,800.8333332999998,0.2,0.2,0.0,0.6,Feb,2.0,2.0,3,2.0,Returning_Visitor,0.0,False,1
50,0.0,0.0,0.0,0.0,1.0,800.8333332999998,0.2,0.2,0.0,0.0,Feb,1.0,1.0,3,4.0,Returning_Visitor,1.0,False,1
51,0.0,0.0,0.0,0.0,12.0,265.1666667,0.011111111000000002,0.026111111,0.0,0.2,Feb,3.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
52,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.1,0.0,1.0,Feb,2.0,4.0,4,2.0,Returning_Visitor,1.0,False,1
53,0.0,0.0,0.0,0.0,4.0,160.0,0.0,0.075,0.0,0.0,Feb,4.0,2.0,2,3.0,Returning_Visitor,0.0,False,1
54,0.0,0.0,0.0,0.0,4.0,135.66666669999998,0.05,0.025,0.0,0.4,Feb,3.0,99.0,1,4.0,Returning_Visitor,0.0,False,1
55,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,Feb,2.0,4.0,1,3.0,Returning_Visitor,0.0,False,1
56,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,Feb,3.0,2.0,3,3.0,Returning_Visitor,0.0,False,1
57,4.0,56.0,2.0,120.0,36.0,998.7416667,0.0,0.014736467,19.44707913,0.2,Feb,2.0,2.0,4,1.0,Returning_Visitor,0.0,False,1
58,0.0,0.0,0.0,0.0,4.0,104.0,0.0,0.05,0.0,0.4,Feb,2.0,6.0,6,3.0,Returning_Visitor,0.0,False,1
59,2.0,16.0,0.0,0.0,16.0,381.6865079,0.011764706000000002,0.046568627,0.0,0.6,Feb,2.0,4.0,2,1.0,Returning_Visitor,0.0,False,1
60,0.0,0.0,0.0,0.0,6.0,169.0,0.0,0.016666667,0.0,0.4,Feb,1.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
61,0.0,0.0,0.0,0.0,8.0,400.8,0.05,0.120833333,0.0,0.0,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
62,12.0,279.4166667,0.0,0.0,42.0,1553.583333,0.009000000000000001,0.019666667,38.30849268,0.0,Feb,1.0,1.0,3,2.0,Returning_Visitor,0.0,False,1
63,0.0,0.0,0.0,0.0,14.0,706.5,0.0,0.007142857,0.0,0.0,Feb,2.0,2.0,5,4.0,Returning_Visitor,1.0,False,1
64,0.0,0.0,0.0,0.0,1.0,706.5,0.2,0.2,0.0,0.0,Feb,2.0,2.0,4,3.0,Returning_Visitor,0.0,False,1
65,3.0,87.83333333,0.0,0.0,27.0,798.3333332999998,0.0,0.012643678,22.9160357,0.8,Feb,2.0,2.0,3,1.0,Returning_Visitor,0.0,True,1
66,4.0,44.0,0.0,0.0,90.0,6951.972222,0.002150538,0.015013034,0.0,0.0,Feb,4.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
67,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,Feb,2.0,2.0,5,1.0,Returning_Visitor,0.0,False,1
68,0.0,0.0,0.0,0.0,18.0,902.0,0.0,0.007407406999999999,0.0,0.0,Feb,2.0,99.0,2,4.0,Returning_Visitor,0.0,False,1
69,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,Feb,3.0,2.0,3,3.0,Returning_Visitor,0.0,False,1
70,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,2.0,6.0,1,2.0,Returning_Visitor,0.0,False,1
71,0.0,0.0,0.0,0.0,20.0,197.3777778,0.025,0.0525,0.0,0.0,Feb,2.0,6.0,6,1.0,Returning_Visitor,0.0,False,1
72,0.0,0.0,0.0,0.0,2.0,43.0,0.0,0.1,0.0,0.4,Feb,2.0,2.0,3,3.0,Returning_Visitor,0.0,False,1
73,0.0,0.0,0.0,0.0,8.0,426.6666667,0.0,0.0125,0.0,0.0,Feb,2.0,4.0,3,2.0,Returning_Visitor,0.0,False,1
74,0.0,0.0,0.0,0.0,3.0,135.0,0.0,0.066666667,0.0,0.0,Feb,2.0,4.0,3,3.0,Returning_Visitor,0.0,False,1
75,0.0,0.0,0.0,0.0,16.0,588.3333332999998,0.0,0.025,0.0,0.0,Feb,2.0,4.0,1,1.0,Returning_Visitor,0.0,False,1
76,10.0,1005.666667,0.0,0.0,36.0,2111.341667,0.0,0.014492753999999997,0.0,0.0,Feb,2.0,6.0,1,2.0,Returning_Visitor,0.0,True,1
77,0.0,0.0,0.0,0.0,2.0,76.0,0.0,0.05,0.0,0.6,Feb,3.0,2.0,3,3.0,Returning_Visitor,0.0,False,1
78,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,1.0,Feb,1.0,1.0,1,3.0,Returning_Visitor,1.0,False,1
79,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.4,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
80,0.0,0.0,0.0,0.0,7.0,208.0,0.0,0.028571429,0.0,0.0,Feb,4.0,1.0,1,5.0,Returning_Visitor,1.0,False,1
81,0.0,0.0,0.0,0.0,4.0,270.0,0.0,0.016666667,0.0,0.8,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
82,0.0,0.0,0.0,0.0,6.0,39.5,0.0,0.02,0.0,0.0,Feb,2.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
83,0.0,0.0,0.0,0.0,12.0,375.0,0.016666667,0.058333333,0.0,0.0,Feb,3.0,2.0,4,1.0,Returning_Visitor,0.0,False,1
84,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.8,Feb,2.0,2.0,2,1.0,Returning_Visitor,1.0,False,1
85,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
86,0.0,0.0,0.0,0.0,7.0,150.0,0.05714285700000001,0.085714286,0.0,0.0,Feb,2.0,2.0,2,1.0,Returning_Visitor,0.0,False,1
87,0.0,0.0,0.0,0.0,3.0,138.0,0.0,0.066666667,0.0,0.0,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
88,0.0,0.0,0.0,0.0,7.0,337.5,0.028571429,0.023809524,0.0,0.4,Feb,4.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
89,0.0,0.0,0.0,0.0,19.0,620.0333333,0.0,0.007894736999999999,0.0,0.0,Feb,1.0,1.0,4,2.0,Returning_Visitor,0.0,False,1
90,2.0,36.0,0.0,0.0,15.0,168.84615380000002,0.0,0.011764706000000002,0.0,0.4,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
91,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1.0,1,2.0,Returning_Visitor,1.0,False,1
92,0.0,0.0,0.0,0.0,2.0,52.0,0.2,0.1,0.0,0.0,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
93,0.0,0.0,0.0,0.0,13.0,649.25,0.0,0.015384615,0.0,0.0,Feb,2.0,2.0,1,5.0,New_Visitor,0.0,False,0
94,0.0,0.0,0.0,0.0,27.0,925.3333332999997,0.003703704,0.025925926,0.0,0.6,Feb,4.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
95,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.1,0.0,0.2,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
96,0.0,0.0,0.0,0.0,6.0,1566.5,0.05,0.066666667,0.0,0.2,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
97,0.0,0.0,0.0,0.0,4.0,105.0,0.0,0.025,0.0,0.6,Feb,1.0,1.0,1,4.0,Returning_Visitor,0.0,False,1
98,0.0,0.0,1.0,0.0,7.0,50.0,0.038095238,0.08095238099999999,0.0,0.6,Feb,2.0,4.0,1,99.0,Returning_Visitor,0.0,False,1
99,0.0,0.0,0.0,0.0,16.0,644.2,0.004166667,0.031666667,0.0,0.0,Feb,3.0,2.0,3,4.0,Returning_Visitor,0.0,False,1
100,3.0,18.33333333,0.0,0.0,38.0,2635.177778,0.0,0.008947368,0.0,0.4,Feb,2.0,4.0,1,2.0,Returning_Visitor,0.0,False,1
101,4.0,61.0,0.0,0.0,19.0,607.0,0.0,0.026984127000000004,0.0,1.0,Feb,1.0,1.0,7,4.0,Returning_Visitor,1.0,True,1
102,0.0,0.0,0.0,0.0,6.0,415.0,0.0,0.033333333,0.0,0.4,Feb,1.0,1.0,3,2.0,Returning_Visitor,0.0,False,1
103,2.0,31.0,1.0,16.0,36.0,2083.530952,0.0,0.01351025,0.0,0.8,Feb,2.0,2.0,4,3.0,Returning_Visitor,0.0,False,1
104,3.0,58.5,0.0,0.0,17.0,281.6666667,0.007058824,0.017647059,0.0,0.0,Feb,1.0,1.0,3,4.0,Returning_Visitor,0.0,False,1
105,0.0,0.0,0.0,0.0,2.0,27.0,0.15,0.15,0.0,0.0,Feb,1.0,1.0,7,2.0,Returning_Visitor,0.0,False,1
106,0.0,0.0,1.0,0.0,9.0,215.0,0.044444444000000013,0.074074074,0.0,0.8,Feb,4.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
107,0.0,0.0,0.0,0.0,12.0,162.0,0.05,0.066666667,0.0,0.0,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
108,0.0,0.0,0.0,0.0,2.0,114.0,0.05,0.066666667,0.0,0.8,Feb,3.0,99.0,1,3.0,Returning_Visitor,0.0,False,1
109,6.0,0.0,4.0,94.0,128.0,5062.213753,0.000854701,0.01791847,0.0,0.0,Feb,2.0,5.0,1,3.0,Returning_Visitor,0.0,False,1
110,0.0,0.0,0.0,0.0,4.0,253.0,0.0,0.016666667,0.0,0.6,Feb,2.0,2.0,3,3.0,Returning_Visitor,0.0,False,1
111,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.4,Feb,2.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
112,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.8,Feb,1.0,1.0,2,3.0,Returning_Visitor,0.0,False,1
113,2.0,22.0,0.0,0.0,25.0,436.5,0.008,0.024,0.0,0.2,Feb,2.0,4.0,1,1.0,Returning_Visitor,0.0,False,1
114,0.0,0.0,1.0,93.0,30.0,1045.833333,0.012903226,0.035483871,0.0,0.2,Feb,1.0,1.0,1,3.0,Returning_Visitor,0.0,False,1
115,0.0,0.0,0.0,0.0,12.0,317.8333333,0.0,0.005555556,0.0,0.0,Feb,1.0,1.0,1,4.0,Returning_Visitor,1.0,False,1
116,0.0,0.0,0.0,0.0,21.0,1146.333333,0.0,0.012962963,0.0,0.8,Feb,3.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
117,0.0,0.0,0.0,0.0,11.0,577.0,0.018181818,0.027272727000000004,0.0,0.2,Feb,2.0,2.0,3,1.0,Returning_Visitor,0.0,False,1
118,0.0,0.0,0.0,0.0,8.0,95.0,0.0,0.075,0.0,0.0,Feb,4.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
119,0.0,0.0,0.0,0.0,6.0,301.5,0.0,0.111111111,0.0,0.0,Feb,2.0,4.0,9,3.0,Returning_Visitor,0.0,False,1
120,0.0,0.0,0.0,0.0,6.0,243.0,0.0,0.033333333,0.0,0.0,Feb,2.0,4.0,4,1.0,Returning_Visitor,0.0,False,1
121,0.0,0.0,0.0,0.0,4.0,135.5,0.0,0.05,0.0,0.6,Feb,2.0,2.0,1,2.0,Returning_Visitor,0.0,False,1
122,0.0,0.0,2.0,75.0,14.0,442.33333330000005,0.0,0.034375,0.0,0.8,Feb,1.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
123,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.066666667,0.0,0.0,Feb,1.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
124,0.0,0.0,0.0,0.0,11.0,292.9,0.028,0.11952381,0.0,0.0,Feb,2.0,4.0,3,1.0,Returning_Visitor,0.0,False,1
125,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
126,0.0,0.0,0.0,0.0,9.0,1238.333333,0.0,0.040740741,0.0,0.4,Feb,2.0,2.0,1,3.0,Returning_Visitor,0.0,False,1
127,0.0,0.0,0.0,0.0,10.0,225.4666667,0.0,0.05,0.0,0.4,Feb,1.0,1.0,8,3.0,Returning_Visitor,0.0,False,1
128,4.0,462.0,0.0,0.0,10.0,1873.216667,0.0,0.00754717,0.0,0.6,Feb,2.0,2.0,9,3.0,Returning_Visitor,0.0,False,1
129,0.0,0.0,0.0,0.0,3.0,13.0,0.133333333,0.166666667,0.0,0.0,Feb,2.0,4.0,1,1.0,Returning_Visitor,0.0,False,1
130,0.0,0.0,0.0,0.0,2.0,222.0,0.0,0.1,0.0,0.0,Feb,2.0,6.0,1,2.0,Returning_Visitor,1.0,False,1
131,2.0,20.0,0.0,0.0,16.0,214.8333333,0.0,0.022222222000000003,0.0,0.0,Feb,2.0,2.0,1,6.0,Returning_Visitor,0.0,False,1
132,0.0,20.0,0.0,0.0,1.0,214.8333333,0.2,0.2,0.0,0.0,Feb,3.0,2.0,3,3.0,Returning_Visitor,0.0,False,1
133,0.0,0.0,0.0,0.0,6.0,2017.166667,0.0,0.011111111000000002,0.0,0.8,Feb,2.0,2.0,4,3.0,Returning_Visitor,0.0,False,1
134,6.0,111.5,0.0,0.0,26.0,449.0277778,0.0,0.018518519,0.0,0.6,Feb,1.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
135,0.0,0.0,0.0,0.0,6.0,158.16666669999995,0.0,0.033333333,0.0,0.0,Feb,3.0,2.0,4,2.0,Returning_Visitor,0.0,False,1
136,0.0,0.0,0.0,0.0,9.0,303.6666667,0.005555556,0.046296296,0.0,0.0,Feb,2.0,4.0,5,2.0,Returning_Visitor,0.0,False,1
137,0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.066666667,0.0,0.0,Feb,2.0,4.0,1,5.0,Returning_Visitor,0.0,False,1
138,0.0,0.0,0.0,0.0,2.0,42.0,0.05,0.15,0.0,0.4,Feb,2.0,2.0,1,4.0,Returning_Visitor,0.0,False,1
139,4.0,103.625,0.0,0.0,14.0,1003.416667,0.0,0.018039216,0.0,0.2,Feb,1.0,1.0,3,3.0,Returning_Visitor,0.0,False,1
140,0.0,103.625,0.0,0.0,1.0,1003.416667,0.2,0.2,0.0,0.0,Feb,2.0,2.0,7,3.0,Returning_Visitor,0.0,False,1
